epoch,acc,loss
0,0.818,0.5743931350708008
1,0.831,0.5220217878818512
2,0.82275,0.5370071958303452
3,0.8405,0.5153099082708359
4,0.836,0.5140677261352539
5,0.84125,0.5012322906255722
6,0.834,0.5079516612291336
7,0.84525,0.4780196157693863
8,0.84575,0.4816877182722092
9,0.8435,0.48960367262363436
